,0
0,A
1,A bitch
2,A hoe
3,A lot
4,A nicca
5,A nigga
6,A real
7,AF
8,AM
9,Al
10,Am
11,Am I
12,An
13,As
14,At
15,At least
16,B
17,BC
18,BE
19,Bc
20,Be
21,C
22,D
23,D Ms
24,DC
25,DM
26,DO
27,Da
28,Do
29,Do I
30,Dr
31,E
32,F
33,G
34,Go
35,Go get
36,H
37,Ha
38,He
39,He bitch
40,He said
41,He wa
42,Hi
43,Ho
44,I
45,I I
46,I M
47,I act
48,I actual
49,I agre
50,I aint
51,I almost
52,I alreadi
53,I also
54,I alway
55,I ask
56,I back
57,I beat
58,I beat pussi
59,I believ
60,I bet
61,I bitch
62,I bitch I
63,I bout
64,I bring
65,I broke
66,I buy
67,I call
68,I call bitch
69,I came
70,I cant
71,I care
72,I color
73,I come
74,I could
75,I cri
76,I cut
77,I damn
78,I date
79,I die
80,I done
81,I dont
82,I drive
83,I eat
84,I eat pussi
85,I even
86,I ever
87,I ever seen
88,I faggot
89,I feel
90,I feel bad
91,I feel like
92,I fell
93,I find
94,I finna
95,I follow
96,I forgot
97,I found
98,I fuck
99,I fuck bitch
100,I fuckin
101,I gave
102,I get
103,I get bitch
104,I give
105,I give fuck
106,I glad
107,I go
108,I gon
109,I gonna
110,I good
111,I got
112,I got bitch
113,I got hoe
114,I got mani
115,I got problem
116,I gotta
117,I guess
118,I guess I
119,I happi
120,I hate
121,I hate I
122,I hate bitch
123,I hate girl
124,I hate hoe
125,I hate peopl
126,I hear
127,I heard
128,I hit
129,I hoe
130,I honestli
131,I hope
132,I ju
133,I keep
134,I kill
135,I kinda
136,I knew
137,I know
138,I know I
139,I know bitch
140,I know hoe
141,I know whi
142,I laugh
143,I learn
144,I leav
145,I let
146,I like
147,I like bitch
148,I listen
149,I liter
150,I live
151,I look
152,I look like
153,I lost
154,I love
155,I love bitch
156,I love hoe
157,I mad
158,I made
159,I make
160,I may
161,I mean
162,I might
163,I miss
164,I must
165,I need
166,I need bitch
167,I never
168,I never seen
169,I nice
170,I one
171,I onli
172,I pay
173,I play
174,I post
175,I pretti
176,I pretti sure
177,I pull
178,I pussi
179,I put
180,I rather
181,I read
182,I readi
183,I realiz
184,I realli
185,I realli hate
186,I realli want
187,I rememb
188,I respect
189,I retard
190,I ride
191,I said
192,I said I
193,I saw
194,I say
195,I sayin
196,I see
197,I seen
198,I sell
199,I send
200,I shit
201,I show
202,I sick
203,I singl
204,I slap
205,I sleep
206,I smack
207,I smoke
208,I sorri
209,I stand
210,I start
211,I stay
212,I still
213,I stop
214,I straight
215,I suppos
216,I sure
217,I swear
218,I swear I
219,I swear god
220,I take
221,I talk
222,I tell
223,I tell bitch
224,I text
225,I thi
226,I thi bitch
227,I think
228,I think I
229,I thought
230,I thought wa
231,I throw
232,I tire
233,I told
234,I took
235,I total
236,I tri
237,I trust
238,I tryna
239,I turn
240,I tweet
241,I type
242,I understand
243,I use
244,I wa
245,I wa like
246,I wait
247,I wake
248,I walk
249,I wanna
250,I wanna see
251,I want
252,I want bitch
253,I watch
254,I went
255,I wish
256,I wish I
257,I wish bitch
258,I woke
259,I wonder
260,I work
261,I worri
262,I would
263,I would love
264,I wrong
265,I yo
266,IG
267,IM
268,IN
269,IS
270,IT
271,IU
272,Id
273,If
274,If I
275,If I ever
276,If I wa
277,If bitch
278,If get
279,If girl
280,If got
281,If hoe
282,If nigga
283,If onli
284,If pussi
285,If thi
286,If u
287,If wa
288,If ya
289,If yo
290,Im
291,In
292,Is
293,It
294,It aint
295,It make
296,It noth
297,It wa
298,J
299,Jk
300,K
301,L
302,LA
303,Le
304,Le bron
305,M
306,ME
307,MT
308,MY
309,Mc
310,Mc donald
311,Me
312,Mi
313,Mr
314,Ms
315,My
316,My bitch
317,My bitch bad
318,My brother
319,My dad
320,My dick
321,My dick call
322,My favorit
323,My main
324,My mom
325,My nigga
326,My niggah
327,My pussi
328,My sister
329,N
330,NO
331,NY
332,No
333,No bitch
334,No matter
335,No one
336,O
337,OF
338,OK
339,ON
340,ON park
341,ON park slope
342,OS
343,Of
344,Of cours
345,Oh
346,Oh I
347,Ok
348,On
349,Or
350,P
351,PC
352,Q
353,R
354,Rt
355,S
356,S O
357,SO
358,So
359,So I
360,So thi
361,St
362,T
363,TF
364,TL
365,TO
366,TV
367,Tf
368,To
369,U
370,UK
371,UP
372,US
373,Uh
374,Up
375,Ur
376,V
377,W
378,WE
379,We
380,We know
381,We need
382,Y
383,Y bitch
384,Y hoe
385,YO
386,Ya
387,Ya bitch
388,Yo
389,Yo bitch
390,Z
391,ab
392,abl
393,abo
394,abov
395,absolut
396,abt
397,abus
398,accent
399,accept
400,accid
401,account
402,across
403,act
404,act like
405,act like I
406,act like bitch
407,act like hoe
408,actin
409,actin like
410,action
411,activ
412,actual
